Frequency (Hz),Count 1,Count 2,Count 3,Count 4,Count 5,Average,Calculated Threshold (dB)
40,3,4,3,4,4,3.6,39.2
60,9,8,8,8,7,8,26
100,11,12,11,13,12,11.8,14.6
200,18,18,18,17,16,17.4,-2.2
400,15,14,14,15,15,14.6,6.2
500,16,15,15,15,15,15.2,4.4
600,18,17,15,18,17,17,-1
1000,18,18,18,17,18,17.8,-3.4
2000,17,17,20,18,20,18.4,-5.2
4000,24,20,23,20,20,21.4,-14.2
5000,23,20,21,20,19,20.6,-11.8
6000,20,20,20,20,19,19.8,-9.4
8000,2,2,1,1,2,1.6,45.2
9000,0,3,3,4,4,2.8,41.6
10000,4,4,3,3,3,3.4,39.8
12000,0,0,0,0,0,0,50
15000,4,4,4,4,4,4,38
